# median-combination of 92 normalized COS/G130M+G160M AGN spectra
# C. Danforth Fri Jan 25 12:25:39 2013
# wavelength   normalized flux
1149.8522     0.985329
1149.9220     0.985645
1149.9918     0.991111
1150.0616     0.995208
1150.1314     0.976179
1150.2012     0.981331
1150.2710     0.961590
1150.3408     0.980953
1150.4106     0.977082
1150.4804     0.990898
1150.5502     0.964320
1150.6200     0.992086
1150.6898     0.987485
1150.7596     0.990482
1150.8294     0.995382
1150.8992     0.988805
1150.9690     0.976788
1151.0388     0.992833
1151.1086     0.998682
1151.1784     0.972945
1151.2482      1.00312
1151.3180      1.00100
1151.3878     0.999631
1151.4576     0.993134
1151.5274     0.991639
1151.5971     0.996299
1151.6669     0.987489
1151.7367     0.995788
1151.8065      1.00137
1151.8763     0.990967
1151.9461     0.971058
1152.0159     0.991495
1152.0857     0.977887
1152.1555     0.969395
1152.2253     0.960918
1152.2951     0.959671
1152.3649     0.953861
1152.4347     0.928292
1152.5045     0.896020
1152.5743     0.854531
1152.6441     0.796873
1152.7139     0.749132
1152.7837     0.723637
1152.8535     0.813073
1152.9233     0.889931
1152.9931     0.937727
1153.0629     0.958284
1153.1327     0.973374
1153.2025     0.979977
1153.2723     0.976304
1153.3421     0.975870
1153.4119     0.972094
1153.4817     0.990214
1153.5515     0.998645
1153.6213      1.00116
1153.6911     0.994428
1153.7609      1.00720
1153.8306      1.01358
1153.9004      1.00404
1153.9702      1.00429
1154.0400      1.01279
1154.1098     0.992173
1154.1796     0.977669
1154.2494     0.992571
1154.3192     0.996904
1154.3890     0.985137
1154.4588     0.995131
1154.5286     0.986693
1154.5984     0.994924
1154.6682     0.989569
1154.7380     0.979637
1154.8078     0.960208
1154.8776     0.974638
1154.9474     0.967695
1155.0172     0.967366
1155.0870     0.975339
1155.1568     0.974833
1155.2266     0.969083
1155.2964     0.966942
1155.3662     0.969332
1155.4360     0.976809
1155.5058     0.971123
1155.5756     0.994551
1155.6454     0.985156
1155.7152     0.973980
1155.7850     0.976303
1155.8548     0.988921
1155.9246     0.981185
1155.9944     0.972431
1156.0641     0.971880
1156.1339     0.994312
1156.2037     0.995691
1156.2735      1.01097
1156.3433      1.02389
1156.4131      1.01014
1156.4829      1.01530
1156.5527      1.01429
1156.6225     0.991728
1156.6923     0.993943
1156.7621     0.978677
1156.8319     0.975224
1156.9017     0.976793
1156.9715     0.962686
1157.0413     0.951681
1157.1111     0.953567
1157.1809     0.967698
1157.2507     0.973559
1157.3205     0.966560
1157.3903     0.970024
1157.4601     0.972035
1157.5299     0.982406
1157.5997     0.988754
1157.6695     0.977521
